   3.3884E-04   3.6308E-04   6.2016E-05  0.0311   0.0000E+00  0.0000
   3.6308E-04   3.8905E-04   7.0229E-05  0.0293   0.0000E+00  0.0000
   3.8905E-04   4.1687E-04   7.2181E-05  0.0272   0.0000E+00  0.0000
   4.1687E-04   4.4668E-04   7.4777E-05  0.0264   0.0000E+00  0.0000
   4.4668E-04   4.7863E-04   7.5085E-05  0.0256   0.0000E+00  0.0000
   4.7863E-04   5.1286E-04   7.4708E-05  0.0248   0.0000E+00  0.0000
   5.1286E-04   5.4954E-04   7.5595E-05  0.0244   0.0000E+00  0.0000
   5.4954E-04   5.8884E-04   6.8044E-05  0.0225   0.0000E+00  0.0000
   5.8884E-04   6.3096E-04   8.8381E-05  0.0186   0.0000E+00  0.0000
   6.3096E-04   6.7608E-04   1.0505E-04  0.0176   0.0000E+00  0.0000
   6.7608E-04   7.2444E-04   1.1555E-04  0.0166   0.0000E+00  0.0000
   7.2444E-04   7.7625E-04   1.1857E-04  0.0162   0.0000E+00  0.0000
   7.7625E-04   8.3176E-04   1.2129E-04  0.0153   0.0000E+00  0.0000
