   5.8430E-03   7.2385E-03   4.5989E-07  0.0058
   7.2385E-03   8.9672E-03   4.5705E-07  0.0058
   8.9672E-03   1.1109E-02   4.5588E-07  0.0059
   1.1109E-02   1.3762E-02   4.4840E-07  0.0054
   1.3762E-02   1.7049E-02   4.4861E-07  0.0058
   1.7049E-02   2.1120E-02   4.5432E-07  0.0058
   2.1120E-02   2.6164E-02   4.5162E-07  0.0065
   2.6164E-02   3.2413E-02   4.5623E-07  0.0062
   3.2413E-02   4.0154E-02   4.4711E-07  0.0064
   4.0154E-02   4.9744E-02   4.7579E-07  0.0059
   4.9744E-02   6.1624E-02   4.6269E-07  0.0061
   6.1624E-02   7.6342E-02   4.9024E-07  0.0059
   7.6342E-02   9.4574E-02   5.0237E-07  0.0063
   9.4574E-02   1.1716E-01   5.4013E-07  0.0065
   1.1716E-01   1.4514E-01   5.9062E-07  0.0062
   1.4514E-01   1.7981E-01   6.1526E-07  0.0062
   1.7981E-01   2.2275E-01   4.8160E-07  0.0060
   2.2275E-01   2.7595E-01   5.8106E-07  0.0068
   2.7595E-01   3.4185E-01   6.2343E-07  0.0064
   3.4185E-01   4.2349E-01   4.6316E-07  0.0070
   4.2349E-01   5.2463E-01   6.7783E-07  0.0064
   5.2463E-01   6.4993E-01   8.6564E-07  0.0066
   6.4993E-01   8.0515E-01   6.8499E-07  0.0084
   8.0515E-01   9.9744E-01   1.8856E-07  0.0126
   9.9744E-01   1.2357E+00   1.3282E-08  0.0449
   1.2357E+00   1.5308E+00   1.6589E-08  0.0470
   1.5308E+00   1.8963E+00   1.6623E-08  0.0520
   1.8963E+00   2.3492E+00   2.1748E-08  0.0471
   2.3492E+00   2.9103E+00   2.3680E-08  0.0442
   2.9103E+00   3.6054E+00   1.7653E-08  0.0522
   3.6054E+00   4.4664E+00   1.9230E-08  0.0551
   4.4664E+00   5.5331E+00   2.3911E-08  0.0505
   5.5331E+00   6.8545E+00   2.2829E-08  0.0513
   6.8545E+00   8.4916E+00   2.2570E-08  0.0549
   8.4916E+00   1.0520E+01   1.2972E-08  0.0678
   1.0520E+01   1.3032E+01   0.0000E+00  0.0000
   1.3032E+01   1.6144E+01   0.0000E+00  0.0000
   1.6144E+01   2.0000E+01   0.0000E+00  0.0000

#   sum over                 1.3587E-04

'no. =  2,  reg  =      2'
msuc: {\huge [t-track] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.17}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.1781E+05 [cm^3]
e:

#------------------------------------------------------------------------------
